Ozone	Month	Year	Solar.R	Wind	Temp
41	Jan	1995	190	7.4	67
36	Feb	1995	118	8	72
12	Mar	1995	149	12.6	74
18	Apr	1995	313	11.5	62
0	May	1995	0	14.3	56
28	Jun	1995	0	14.9	66
23	Jul	1995	299	8.6	65
19	Aug	1995	99	13.8	59
8	Sep	1995	19	20.1	61
0	Oct	1995	194	8.6	69
7	Nov	1995	0	6.9	74
16	Dec	1995	256	9.7	69
11	Jan	1996	290	9.2	66
14	Feb	1996	274	10.9	68
18	Mar	1996	65	13.2	58
14	Apr	1996	334	11.5	64
34	May	1996	307	12	66
6	Jun	1996	78	18.4	57
30	Jul	1996	322	11.5	68
11	Aug	1996	44	9.7	62
1	Sep	1996	8	9.7	59
11	Oct	1996	320	16.6	73
4	Nov	1996	25	9.7	61
32	Dec	1996	92	12	61
0	Jan	1997	66	16.6	57
0	Feb	1997	266	14.9	58
0	Mar	1997	0	8	57
23	Apr	1997	13	12	67
45	May	1997	252	14.9	81
115	Jun	1997	223	5.7	79
37	Jul	1997	279	7.4	76
0	Aug	1997	286	8.6	78
0	Sep	1997	287	9.7	74
0	Oct	1997	242	16.1	67
0	Nov	1997	186	9.2	84
0	Dec	1997	220	8.6	85
0	Jan	1998	264	14.3	79
29	Feb	1998	127	9.7	82
0	Mar	1998	273	6.9	87
71	Apr	1998	291	13.8	90
39	May	1998	323	11.5	87
0	Jun	1998	259	10.9	93
0	Jul	1998	250	9.2	92
23	Aug	1998	148	8	82
0	Sep	1998	332	13.8	80
0	Oct	1998	322	11.5	79
21	Nov	1998	191	14.9	77
37	Dec	1998	284	20.7	72
20	Jan	1999	37	9.2	65
12	Feb	1999	120	11.5	73
13	Mar	1999	137	10.3	76
0	Apr	1999	150	6.3	77
0	May	1999	59	1.7	76
0	Jun	1999	91	4.6	76
0	Jul	1999	250	6.3	76
0	Aug	1999	135	8	75
0	Sep	1999	127	8	78
0	Oct	1999	47	10.3	73
0	Nov	1999	98	11.5	80
0	Dec	1999	31	14.9	77
0	Jan	2000	138	8	83
135	Feb	2000	269	4.1	84
49	Mar	2000	248	9.2	85
32	Apr	2000	236	9.2	81
0	May	2000	101	10.9	84
64	Jun	2000	175	4.6	83
40	Jul	2000	314	10.9	83
77	Aug	2000	276	5.1	88
97	Sep	2000	267	6.3	92
97	Oct	2000	272	5.7	92
85	Nov	2000	175	7.4	89
0	Dec	2000	139	8.6	82
10	Jan	2001	264	14.3	73
27	Feb	2001	175	14.9	81
0	Mar	2001	291	14.9	91
7	Apr	2001	48	14.3	80
48	May	2001	260	6.9	81
35	Jun	2001	274	10.3	82
61	Jul	2001	285	6.3	84
79	Aug	2001	187	5.1	87
63	Sep	2001	220	11.5	85
16	Oct	2001	7	6.9	74
0	Nov	2001	258	9.7	81
0	Dec	2001	295	11.5	82
80	Jan	2002	294	8.6	86
108	Feb	2002	223	8	85
20	Mar	2002	81	8.6	82
52	Apr	2002	82	12	86
82	May	2002	213	7.4	88
50	Jun	2002	275	7.4	86
64	Jul	2002	253	7.4	83
59	Aug	2002	254	9.2	81
39	Sep	2002	83	6.9	81
9	Oct	2002	24	13.8	81
16	Nov	2002	77	7.4	82
78	Dec	2002	0	6.9	86
35	Jan	2003	0	7.4	85
66	Feb	2003	0	4.6	87
122	Mar	2003	255	4	89
89	Apr	2003	229	10.3	90
110	May	2003	207	8	90
0	Jun	2003	222	8.6	92
0	Jul	2003	137	11.5	86
44	Aug	2003	192	11.5	86
28	Sep	2003	273	11.5	82
65	Oct	2003	157	9.7	80
0	Nov	2003	64	11.5	79
22	Dec	2003	71	10.3	77
59	Jan	2004	51	6.3	79
23	Feb	2004	115	7.4	76
31	Mar	2004	244	10.9	78
44	Apr	2004	190	10.3	78
21	May	2004	259	15.5	77
9	Jun	2004	36	14.3	72
0	Jul	2004	255	12.6	75
45	Aug	2004	212	9.7	79
168	Sep	2004	238	3.4	81
73	Oct	2004	215	8	86
0	Nov	2004	153	5.7	88
76	Dec	2004	203	9.7	97
118	Jan	2005	225	2.3	94
84	Feb	2005	237	6.3	96
85	Mar	2005	188	6.3	94
96	Apr	2005	167	6.9	91
78	May	2005	197	5.1	92
73	Jun	2005	183	2.8	93
91	Jul	2005	189	4.6	93
47	Aug	2005	95	7.4	87
32	Sep	2005	92	15.5	84
20	Oct	2005	252	10.9	80
23	Nov	2005	220	10.3	78
21	Dec	2005	230	10.9	75
24	Jan	2006	259	9.7	73
44	Feb	2006	236	14.9	81
21	Mar	2006	259	15.5	76
28	Apr	2006	238	6.3	77
9	May	2006	24	10.9	71
13	Jun	2006	112	11.5	71
46	Jul	2006	237	6.9	78
18	Aug	2006	224	13.8	67
13	Sep	2006	27	10.3	76
24	Oct	2006	238	10.3	68
16	Nov	2006	201	8	82
13	Dec	2006	238	12.6	64
23	Jan	2007	14	9.2	71
36	Feb	2007	139	10.3	81
7	Mar	2007	49	10.3	69
14	Apr	2007	20	16.6	63
30	May	2007	193	6.9	70
0	Jun	2007	145	13.2	77
14	Jul	2007	191	14.3	75
18	Aug	2007	131	8	76
20	Sep	2007	223	11.5	68
